                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3684,                 1.0985,                 1.2061,                0.76758,                0.67976,                0.76241,                0.40867,                 1.5381,                 2.5981,                 1.4253,             0.00066469,             0.00066469,             0.00066469
                      2,                  1.474,                 1.0921,                 1.3015,                0.80478,                0.75809,                0.83077,                0.47757,                 1.4169,                 1.0918,                 1.3162,              0.0012435,              0.0012435,              0.0012435
                      3,                 1.4556,                 1.0516,                 1.3008,                0.85302,                0.83642,                0.89075,                0.51931,                 1.3677,                 1.1841,                 1.3261,              0.0017343,              0.0017343,              0.0017343
                      4,                 1.3906,                0.95639,                 1.2753,                0.91201,                0.85024,                0.92872,                0.58738,                 1.2792,                0.79782,                 1.2882,               0.001604,               0.001604,               0.001604
                      5,                 1.3248,                0.86917,                  1.238,                0.88126,                0.81859,                0.90284,                0.54577,                 1.3614,                0.88518,                 1.3359,               0.001604,               0.001604,               0.001604
                      6,                  1.296,                0.84926,                 1.2544,                0.90387,                0.86089,                0.92822,                0.58471,                 1.2874,                 0.7875,                 1.3377,               0.001472,               0.001472,               0.001472
                      7,                 1.2357,                0.75825,                 1.2283,                0.91485,                0.88713,                0.94913,                0.62383,                 1.2019,                0.72988,                 1.2572,                0.00134,                0.00134,                0.00134
                      8,                 1.2107,                0.72595,                 1.2131,                0.91718,                0.89149,                0.94734,                0.62847,                 1.1507,                0.70423,                 1.2188,               0.001208,               0.001208,               0.001208
                      9,                 1.1615,                 0.6797,                 1.1832,                0.94774,                0.92325,                 0.9711,                0.67302,                 1.0795,                0.60576,                  1.161,               0.001076,               0.001076,               0.001076
                     10,                 1.1376,                0.63634,                 1.1788,                0.94523,                 0.9189,                0.97047,                0.67013,                 1.0811,                 0.6029,                 1.1794,               0.000944,               0.000944,               0.000944
                     11,                 1.0897,                0.60015,                 1.1522,                0.95558,                0.93812,                0.97541,                0.70309,                 1.0157,                 0.5592,                 1.1273,               0.000812,               0.000812,               0.000812
                     12,                 1.0581,                0.56549,                 1.1308,                0.95343,                0.94521,                0.98079,                 0.7129,                0.99194,                0.51833,                 1.1246,                0.00068,                0.00068,                0.00068
                     13,                 1.0352,                0.54043,                 1.1247,                0.96937,                0.94968,                0.98588,                0.73284,                0.94798,                0.48398,                 1.1022,               0.000548,               0.000548,               0.000548
                     14,                0.99182,                0.50168,                  1.098,                0.96803,                0.95595,                 0.9874,                0.74609,                0.91272,                0.46559,                 1.0792,               0.000416,               0.000416,               0.000416
                     15,                0.95856,                0.48453,                 1.0766,                0.97134,                0.96547,                0.98983,                0.75928,                0.88277,                 0.4399,                 1.0658,               0.000284,               0.000284,               0.000284
