                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99156,                0.51056,                 1.0996,                0.95525,                0.94767,                0.98157,                0.71672,                0.97541,                0.52306,                 1.1241,             0.00066469,             0.00066469,             0.00066469
                      2,                 1.1185,                0.63153,                 1.1695,                0.94208,                0.91436,                0.96549,                0.68399,                 1.0508,                0.58216,                 1.1811,              0.0012435,              0.0012435,              0.0012435
                      3,                 1.1323,                0.65496,                  1.182,                 0.9381,                0.87253,                0.95261,                0.63709,                 1.1565,                 0.7021,                  1.244,              0.0017343,              0.0017343,              0.0017343
                      4,                 1.1604,                0.66786,                 1.1956,                 0.9562,                0.92189,                0.97463,                0.66672,                 1.1176,                0.61614,                 1.1951,               0.001604,               0.001604,               0.001604
                      5,                 1.1294,                0.65816,                  1.183,                 0.9465,                 0.9189,                0.96836,                0.64922,                 1.1193,                0.60745,                 1.2005,               0.001604,               0.001604,               0.001604
                      6,                 1.1035,                0.62099,                 1.1651,                0.94525,                0.91279,                0.96754,                0.68701,                 1.0438,                 0.5797,                 1.1745,               0.001472,               0.001472,               0.001472
                      7,                 1.0493,                0.58003,                 1.1252,                 0.9488,                0.94337,                0.97967,                0.71026,                0.99909,                0.53758,                 1.1509,                0.00134,                0.00134,                0.00134
                      8,                 1.0342,                0.56608,                  1.122,                0.95895,                 0.9311,                0.97886,                0.72117,                 0.9761,                0.52074,                 1.1203,               0.001208,               0.001208,               0.001208
                      9,                 1.0018,                0.52277,                 1.0985,                0.95626,                0.94653,                0.98083,                0.71496,                0.97672,                0.51784,                 1.1176,               0.001076,               0.001076,               0.001076
                     10,                0.98382,                0.51125,                 1.1015,                0.96663,                0.95445,                0.98569,                0.74654,                0.92621,                0.45836,                  1.091,               0.000944,               0.000944,               0.000944
                     11,                0.96816,                0.48624,                 1.0875,                0.96323,                0.96151,                0.98566,                0.73827,                0.93818,                0.46596,                 1.0995,               0.000812,               0.000812,               0.000812
                     12,                0.93573,                0.47009,                 1.0704,                0.96755,                0.96496,                0.98974,                0.75726,                0.89667,                0.44253,                 1.0815,                0.00068,                0.00068,                0.00068
                     13,                0.91571,                0.45489,                 1.0635,                0.97636,                0.96992,                0.99046,                0.77415,                0.85986,                0.41973,                 1.0549,               0.000548,               0.000548,               0.000548
                     14,                0.88819,                0.43253,                  1.047,                0.97896,                0.97293,                0.99232,                0.78861,                0.82202,                0.39781,                 1.0364,               0.000416,               0.000416,               0.000416
                     15,                0.85918,                0.41881,                 1.0307,                0.97689,                0.97356,                0.99243,                0.79303,                0.80625,                0.38844,                 1.0274,               0.000284,               0.000284,               0.000284
