                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4424,                 1.9666,                 1.1382,                 0.7823,                0.76993,                0.82202,                0.47536,                 1.3471,                 2.0331,                 1.1593,             0.00066469,             0.00066469,             0.00066469
                      2,                 1.4596,                 1.2011,                 1.1602,                0.90016,                0.84313,                0.90861,                0.56161,                 1.3063,                 1.1558,                 1.1296,              0.0012655,              0.0012655,              0.0012655
                      3,                 1.4567,                 1.0955,                 1.1593,                0.88091,                0.73997,                0.83529,                0.50084,                 1.4345,                 1.0722,                  1.164,              0.0018002,              0.0018002,              0.0018002
                      4,                 1.4113,                 1.0227,                 1.1468,                 0.9074,                0.85201,                 0.9231,                 0.5717,                 1.3215,                0.83583,                 1.1179,               0.001703,               0.001703,               0.001703
                      5,                 1.3744,                0.94883,                 1.1325,                0.91323,                  0.853,                0.92563,                0.55894,                 1.3106,                 0.9494,                 1.1163,               0.001703,               0.001703,               0.001703
                      6,                 1.3217,                0.90068,                 1.1105,                0.93209,                 0.8822,                0.95202,                0.61417,                 1.2204,                0.76783,                 1.0849,               0.001604,               0.001604,               0.001604
                      7,                 1.3078,                0.85508,                  1.097,                0.94639,                0.89529,                0.95963,                 0.6385,                 1.1674,                0.71219,                 1.0528,               0.001505,               0.001505,               0.001505
                      8,                  1.269,                0.80002,                 1.0785,                0.95449,                 0.8974,                0.96411,                0.64522,                 1.1753,                0.67238,                 1.0539,               0.001406,               0.001406,               0.001406
                      9,                 1.2449,                0.77335,                 1.0698,                0.95013,                0.91353,                0.97033,                0.66823,                 1.0844,                 0.6736,                 1.0192,               0.001307,               0.001307,               0.001307
                     10,                 1.2145,                0.74479,                 1.0544,                0.95189,                0.92131,                0.97599,                0.66364,                 1.0844,                0.62907,                 1.0061,               0.001208,               0.001208,               0.001208
                     11,                 1.1664,                0.68736,                 1.0412,                0.96011,                0.91173,                0.97274,                 0.6809,                 1.0693,                0.63839,                 1.0028,               0.001109,               0.001109,               0.001109
                     12,                 1.1296,                0.66151,                 1.0255,                 0.9387,                0.90983,                0.96905,                0.66347,                  1.116,                0.63043,                 1.0213,                0.00101,                0.00101,                0.00101
                     13,                 1.1198,                0.62985,                 1.0216,                0.94097,                0.91524,                0.97218,                0.66182,                 1.1168,                  0.631,                 1.0308,               0.000911,               0.000911,               0.000911
                     14,                 1.1159,                0.62677,                 1.0244,                0.96203,                0.94499,                0.98243,                0.70155,                 1.0146,                0.56003,                0.98995,               0.000812,               0.000812,               0.000812
                     15,                 1.0772,                0.58423,                 1.0045,                0.95553,                0.93844,                0.97771,                0.70271,                  1.017,                0.55865,                0.98932,               0.000713,               0.000713,               0.000713
                     16,                 1.0686,                0.57643,                 1.0024,                0.96116,                0.95462,                 0.9864,                0.71991,                0.98873,                0.51641,                0.96283,               0.000614,               0.000614,               0.000614
                     17,                 1.0376,                0.54815,                0.98916,                0.96435,                0.96068,                0.98758,                0.72799,                0.95939,                0.50438,                0.95724,               0.000515,               0.000515,               0.000515
                     18,                 1.0066,                  0.529,                0.97821,                0.97009,                0.96133,                0.98906,                 0.7338,                 0.9455,                0.48066,                0.95145,               0.000416,               0.000416,               0.000416
                     19,                0.98322,                0.51016,                0.96791,                0.97543,                0.96527,                 0.9905,                0.74569,                0.92074,                0.47135,                0.94299,               0.000317,               0.000317,               0.000317
                     20,                0.96596,                0.49726,                0.96293,                0.97303,                0.96819,                0.99074,                0.75008,                0.90365,                0.45641,                0.94053,               0.000218,               0.000218,               0.000218
